Name,Position,Age,ca,pa,Nationality,Club,Corners,Crossing,Dribbling,Finishing,First Touch,Free Kick Taking,Heading,Long Shots,Long Throws,Marking,Passing,Penalty Taking,Tackling,Technique,Aggressiion,Anticipation,Bravery,Composure,Concentration,Vision,Decision,Determination,Flair,Leadership,Off The Ball,Position,Teamwork,Work Rate,Acceleration,Agility,Balance,Jumping Reach,Natural Fitness,Pace,Stamina,Strength,Stability,Foul,Contest performance,Injury,diversity,Aerial Reach,Command Of Area,Communication,Eccentricity,Handling,Kicking,One On Ones,Reflexes,Rushing Out,Punching,Throwing,Adaptation,Ambition,Argue,Loyal,Resistant to stress,Professional,Sportsmanship,Emotional control,GK,DL,DC,DR,WBL,WBR,DM,ML,MC,MR,AML,AMC,AMR,ST,Height,Weight,Left Foot,Right Foot,Values,Current reputation,Domestic reputation,World reputation,Race,RCA,Colour of skin,Date of birth,Number of national team appearances,Goals scored for the national team,Salary,Rental club,UID
Mateo Sanabria,AM L,18,108,136,Argentina,Club Atlético Lanús,11,14,14,11,16,6,12,9,8,9,15,6,8,15,11,15,5,9,6,7,16,14,14,7,8,9,11,12,11,13,11,9,13,12,9,9,13,5,14,12,12,2,3,1,2,1,3,1,1,3,3,1,19,11,3,10,12,12,12,20,1,1,1,1,1,1,1,1,1,1,20,1,1,14,178,72,11,20,4342731,5193,5193,2091,Mediterranean_Hispanic,109,7,2004/3/31,0,0,2558,,2000044144
Łukasz Poręba,M C,22,108,135,Poland,RC Lens,9,11,8,9,11,10,9,11,7,9,11,8,10,11,12,13,11,12,12,13,11,14,10,8,12,12,14,15,13,12,12,9,5,11,13,10,13,8,17,15,16,2,1,2,1,2,3,2,1,2,3,3,14,14,6,13,12,13,12,14,1,1,1,1,1,1,15,1,20,1,1,14,1,1,179,76,12,20,2184999,5000,5000,2252,Northern_European,108,1,2000/3/13,0,0,1096,,96131652
Nilson Angulo,AM RLC,19,108,-75,Ecuador,RSC Anderlecht,7,10,14,11,13,9,9,8,2,6,13,8,6,14,7,11,10,10,11,12,16,8,13,5,15,5,8,8,15,9,10,10,14,13,13,9,10,11,12,9,10,3,3,3,3,2,3,2,1,2,1,4,7,9,5,11,11,10,11,14,1,1,1,1,1,1,1,1,1,1,15,20,17,15,182,64,9,20,24620000,5000,5000,2218,African_Caribbean,106,16,2003/6/19,3,0,4499,,2000035859
Kristian Arnstad,M C,18,108,-75,Norway,RSC Anderlecht,9,11,9,8,13,9,6,9,3,10,14,9,10,12,12,13,11,10,12,12,12,12,12,10,10,10,12,13,13,11,11,8,7,10,13,11,12,6,11,10,10,3,2,2,1,2,2,1,3,2,1,1,14,13,2,10,11,14,11,15,1,1,1,1,1,1,14,1,20,1,1,14,14,1,168,60,12,20,24320000,5500,5500,3506,Northern_European,106,0,2003/9/7,0,0,3999,,53182865
Samuel Soares,GK,20,108,-75,"Portugal,Guinea-Bissau",SL Benfica,4,3,3,2,10,8,6,2,1,2,11,1,1,11,11,13,12,10,8,10,9,15,11,6,8,11,12,12,12,12,12,13,16,12,12,13,11,5,7,5,12,11,12,12,15,12,16,13,15,15,10,12,12,12,7,12,14,14,14,5,20,1,1,1,1,1,1,1,1,1,1,1,1,1,190,90,6,20,21079999,5400,5400,3910,African_Caribbean,110,12,2002/6/15,0,0,2749,,83257052
Till Cissokho,D C,22,108,137,"France,Senegal",Quevilly Rouen,4,5,8,7,9,6,14,6,8,13,8,6,11,9,8,11,9,12,11,9,12,14,12,12,9,13,11,8,12,11,14,18,15,11,11,13,11,10,13,10,9,1,2,1,1,3,1,2,1,1,4,2,20,12,8,10,7,13,12,14,1,1,20,1,1,1,1,1,1,1,1,1,1,1,200,88,20,6,1132499,5393,5393,2243,African_Caribbean,107,13,2000/2/8,0,0,2795,,48042334
Samuele Vignato,AM RC,18,108,-85,"Italy,Brazil",Brianza,11,10,11,13,12,7,7,10,7,4,11,11,10,13,7,8,11,12,12,12,10,12,11,9,12,8,12,10,14,13,12,7,12,12,12,10,11,8,12,7,12,1,2,2,1,1,1,2,1,2,3,2,12,12,8,11,12,12,12,12,1,1,1,1,1,1,1,1,1,1,10,20,17,15,168,63,11,20,13385601,5398,5598,2998,Mixed_Race,106,8,2004/2/24,0,0,768,,2000021407
Maissa Ndiaye,D C,20,108,136,Senegal,Cremonese,4,7,8,6,9,4,12,6,9,13,8,5,13,8,17,14,17,11,10,8,10,14,2,8,6,12,13,16,13,12,13,13,15,13,14,13,12,14,13,4,7,2,2,2,2,1,3,1,3,4,3,1,13,11,7,8,10,10,5,6,1,1,20,1,1,1,1,1,1,1,1,1,1,1,180,78,8,20,1453998,5400,3876,1825,African_Caribbean,109,18,2002/1/28,0,0,3908,,43609779
Marcelino Carreazo,AM RL,22,108,135,"Colombia,Venezuela",CSKA-Sofia,12,13,13,10,12,10,9,10,4,4,12,11,5,12,8,10,10,9,11,12,12,12,12,9,12,8,11,12,13,12,12,7,12,13,12,11,12,8,12,14,9,2,1,2,2,2,3,3,3,3,1,1,12,10,1,13,11,10,10,17,1,1,1,1,1,1,8,10,12,12,17,10,20,1,168,60,10,20,1187999,5400,5400,2400,African_Caribbean,108,13,1999/12/17,0,0,1151,,76055483
Trilli,D/WB RC,19,108,-8,Spain,Coruña,7,9,7,4,12,7,12,10,10,12,12,10,11,12,15,14,11,11,11,11,12,5,5,1,10,12,11,11,11,12,11,12,13,12,13,8,14,14,7,6,14,2,2,3,2,2,3,1,3,3,1,3,12,14,3,14,12,14,13,16,1,1,16,20,1,18,1,1,1,1,1,1,1,1,184,0,10,20,3791999,4950,4950,2464,Mediterranean_Hispanic,100,4,2003/5/19,0,0,1206,,253311
Ernest Muçi,M/AM/S C,21,108,135,Albania,Legia Warszawa,9,11,13,10,13,8,12,14,5,5,11,14,7,14,4,8,7,11,11,11,12,13,14,4,10,6,10,8,14,13,7,11,12,14,10,6,10,3,11,3,12,3,2,2,4,2,4,3,2,1,3,2,7,12,2,8,9,13,10,10,1,1,1,1,1,1,1,1,18,1,13,20,13,17,180,75,12,20,1179218,4994,4994,1994,Northern_European,102,3,2001/3/19,1,0,3000,,11035674
Jhon Durán,S,18,108,-85,Colombia,Chicago Fire FC,10,11,12,13,12,10,11,11,4,10,11,7,8,12,13,12,10,10,11,11,11,11,12,12,13,10,12,13,13,13,11,14,13,14,12,14,8,10,11,12,14,1,2,2,3,2,2,1,1,1,2,2,11,10,16,8,12,10,8,12,1,1,1,1,1,1,1,1,1,1,12,1,10,20,185,73,20,8,5911475,5464,5040,3290,African_Caribbean,115,17,2003/12/13,2,0,3238,,76063258
Gonçalo Cardoso,D C,21,108,140,Portugal,Clube Sport Marítimo - SAD,8,8,10,6,10,6,12,8,10,12,12,5,13,12,13,10,13,14,10,13,13,15,8,9,7,11,13,12,12,13,12,13,12,12,11,11,10,12,10,13,9,1,3,1,1,3,4,3,1,2,1,3,20,14,6,11,11,16,15,11,1,1,20,1,1,1,1,1,1,1,1,1,1,1,186,82,20,7,1459998,5400,5400,3900,Mediterranean_Hispanic,106,4,2000/10/21,0,0,2749,,83223860
Alberto Quintana,D/DM/M C,20,108,140,Spain,Valladolid,8,9,11,9,11,8,12,10,8,13,13,10,12,12,13,11,10,12,13,12,14,12,8,10,10,12,14,12,12,11,8,12,11,12,11,9,12,9,14,11,19,1,3,1,3,2,1,1,1,3,2,4,17,15,7,10,10,16,10,11,1,1,16,1,1,1,20,1,18,1,1,1,1,1,186,74,10,20,2943999,5400,5400,2900,Mediterranean_Hispanic,108,2,2001/10/5,0,0,2335,,67280840
Daniel Jebbison,S,18,108,-75,"England,Canada,Jamaica",Sheffield United,7,9,13,13,11,9,10,11,6,5,10,10,6,12,12,12,11,11,8,12,9,11,13,7,12,8,10,11,15,14,13,10,13,14,13,11,10,11,10,10,10,1,3,2,1,2,1,1,1,1,4,2,13,9,6,13,11,9,9,11,1,1,1,1,1,1,1,1,1,1,1,12,1,20,190,75,8,20,15700641,5400,5400,2750,African_Caribbean,107,14,2003/8/13,0,0,754,,28128172
Amourricho van Axel Dongen,M/AM L,17,108,-85,"Holland,Suriname",AFC Ajax,10,11,12,11,12,11,7,11,7,8,13,10,6,12,8,10,11,11,9,13,12,15,13,12,9,8,10,12,13,12,10,8,11,13,9,10,9,9,11,13,10,1,1,4,1,1,2,3,1,1,3,3,16,12,8,12,11,11,11,10,1,1,1,1,1,1,1,18,12,1,20,13,1,1,171,0,15,20,33000000,5098,5098,3504,African_Caribbean,107,15,2004/9/29,0,0,11999,,2000041123
Aleksander Buksa,S,19,108,-75,Poland,Genoa CFC,5,8,10,12,11,8,12,13,7,5,10,10,6,11,14,12,13,12,9,10,11,14,12,7,12,7,14,13,12,11,12,15,13,11,12,13,12,15,10,10,12,2,3,2,3,1,1,2,1,3,3,1,12,14,13,7,13,10,14,17,1,1,1,1,1,1,1,1,1,1,7,10,13,20,188,70,20,13,9516799,5750,4800,3529,Northern_European,108,0,2003/1/15,0,0,7490,Oud-Heverlee Leuven,96137828
Kegan Johannes,D/WB RC,21,108,140,South Africa,SuperSport United Football Club,4,6,7,5,11,1,12,2,6,11,10,7,13,10,5,11,10,10,9,6,15,12,5,11,9,14,10,10,12,14,10,11,13,15,13,9,20,13,5,5,12,2,3,2,1,1,2,3,4,4,2,3,15,12,2,10,11,10,12,18,1,10,19,20,1,16,1,1,1,1,1,1,1,1,180,70,11,20,314178,5050,4950,2650,Mixed_Race,102,255,2001/3/31,3,0,1438,,65040473
Mario Stroeykens,AM RLC,17,108,-85,Belgium,RSC Anderlecht,8,10,13,12,14,8,5,9,4,4,14,7,5,14,12,9,13,12,8,12,8,11,14,6,8,5,12,12,13,11,11,8,9,16,10,10,8,6,14,13,14,2,3,3,2,2,3,1,2,2,3,3,19,14,2,12,11,11,13,14,1,1,1,1,1,1,1,1,1,1,20,16,19,15,177,79,10,20,24620000,5500,5500,2500,Mixed_Race,102,12,2004/9/29,0,0,4999,,18116329
Karim Dermane,DM/M C,18,108,-8,Togo,Feyenoord Rotterdam,9,8,12,11,11,9,9,15,7,10,15,9,8,10,10,8,12,10,10,8,11,12,11,6,10,7,13,15,12,14,12,8,12,12,15,7,12,14,8,10,12,1,1,3,2,4,1,3,3,3,3,3,17,13,4,14,9,12,14,16,1,1,1,1,1,1,17,1,20,1,1,12,1,1,174,0,10,20,32199999,5246,4347,3443,African_Caribbean,100,15,2003/12/26,2,0,1373,,2000067913
Vladyslav Vanat,S L,20,108,-75,Ukraine,Dynamo Kyiv,7,8,12,14,12,5,10,5,6,4,10,11,5,12,13,13,11,13,8,7,11,17,13,6,13,6,12,12,14,12,11,11,12,12,11,11,11,8,10,8,8,3,1,2,3,2,1,3,3,1,3,2,5,8,2,15,12,12,11,11,1,1,1,1,1,1,1,8,1,3,15,4,9,20,182,69,20,12,22630493,4991,4991,1607,Northern_European,106,2,2002/1/4,0,0,2320,,71113671
Yasin Salmani,DM/M/AM C,20,108,-75,Iran,Foolad Mobarakeh Sepahan Club,8,8,9,10,14,8,8,10,1,10,14,2,11,10,7,12,9,6,5,14,14,3,13,9,10,10,9,12,14,11,9,11,14,12,7,7,16,15,11,10,15,4,1,2,3,2,1,3,1,1,2,3,15,10,5,11,11,10,10,16,1,1,1,1,1,1,18,1,20,1,1,16,1,1,183,0,20,13,366266,4489,4615,1591,North_African__Middle_Eastern,96,255,2002/2/27,0,0,6163,,64039660
Carlos Olses,GK,21,108,137,"Venezuela,Argentina",Deportivo La Guaira,4,1,1,2,8,6,10,3,3,2,11,2,2,11,10,12,11,12,11,10,10,7,1,12,2,11,11,10,11,13,8,14,8,12,11,12,14,12,10,16,12,14,12,13,8,11,10,12,13,6,8,8,13,12,7,12,13,11,12,12,20,1,1,1,1,1,1,1,1,1,1,1,1,1,192,79,10,20,273340,5298,5298,2315,Mediterranean_Hispanic,108,6,2000/9/5,0,0,724,,86060627
Cole Bassett,M/AM C,20,108,136,United States,Colorado Rapids,10,10,12,10,11,7,8,9,6,10,13,8,10,12,7,11,11,11,10,12,11,12,6,5,12,11,14,15,12,13,12,11,12,12,12,9,11,5,12,3,11,1,1,1,1,1,8,1,1,1,1,1,9,11,3,12,10,14,12,15,1,1,1,1,1,1,14,10,20,12,7,16,11,1,181,68,11,20,4900181,5500,5400,3250,Northern_European,105,4,2001/7/28,0,0,5041,Fortuna Sittard,72052446
Haydon Roberts,D LC,20,108,-8,"England,Nigeria",Brighton & Hove Albion,6,7,9,6,12,6,12,5,7,11,13,7,12,12,11,12,14,13,14,12,12,16,6,12,7,12,11,13,13,12,11,12,14,13,14,9,11,7,11,7,14,2,2,3,2,1,2,2,2,1,3,1,15,14,4,9,11,16,11,16,1,17,20,1,14,1,14,1,1,1,1,1,1,1,182,77,20,8,43891273,5384,5384,3234,Northern_European,108,8,2002/5/10,0,0,5800,Derby County,28121308
Cade Cowell,AM/S RL,18,108,-75,"United States,Mexico",San Jose Earthquakes,8,9,12,10,10,8,7,9,9,5,9,7,6,11,5,8,8,9,8,9,8,12,13,4,9,5,8,12,13,11,9,9,12,16,9,8,14,12,11,8,11,3,2,2,1,2,1,2,2,2,3,2,11,13,2,11,8,10,13,10,1,1,1,1,1,1,1,12,1,13,18,14,19,20,181,79,12,20,6964006,5628,5861,3331,Northern_European,77,2,2003/10/14,1,0,12319,,72053451
Gabriel Słonina,GK,18,108,-85,"United States,Poland",Chelsea,5,3,2,3,9,7,1,2,3,3,8,3,1,9,7,9,13,13,13,10,9,18,1,4,3,13,14,10,12,12,12,17,14,11,13,13,14,5,19,8,13,13,12,13,6,10,10,12,14,7,8,11,17,18,2,18,19,18,17,17,20,1,1,1,1,1,1,1,1,1,1,1,1,1,194,89,10,20,43984066,5750,5750,3500,Northern_European,108,1,2004/5/15,0,0,23198,Chicago Fire FC,72053584
Thiaguinho,AM RL,21,108,135,Brazil,FLA,6,7,14,12,12,9,10,10,6,5,11,13,6,12,8,11,12,11,11,12,10,13,13,14,12,6,11,11,14,13,8,12,13,14,12,8,10,5,13,9,15,2,2,2,2,2,1,2,2,2,1,1,16,11,4,11,11,14,7,12,1,1,1,1,1,1,1,1,1,13,15,14,20,11,180,78,20,10,2836572,5481,5452,2995,Mixed_Race,106,11,2001/3/13,0,0,1514,Houston Dynamo FC,19394849
Matěj Kovář,GK,22,108,-75,Czech Republic,Manchester UFC,4,1,1,3,12,7,1,1,1,3,10,3,3,12,8,12,8,11,9,7,9,16,4,6,1,11,9,6,13,14,12,15,15,12,10,10,8,6,18,3,14,15,11,8,8,12,13,12,13,12,12,7,17,12,7,11,11,12,10,12,20,1,1,1,1,1,1,1,1,1,1,1,1,1,193,80,14,20,52888,5400,5400,3509,Northern_European,100,1,2000/5/17,0,0,11599,Sparta Prague,28118905
Armindo Sieb,AM/S RLC,19,108,-75,Germany,SpVgg Greuther Fürth,4,8,13,12,12,11,11,11,3,6,12,12,6,13,12,10,11,10,9,11,8,12,14,3,12,6,9,9,13,12,11,10,13,15,11,11,12,6,8,8,13,2,2,3,3,3,3,3,4,1,1,2,11,16,10,8,12,8,10,12,1,1,1,1,8,10,1,10,1,12,15,15,18,20,180,76,13,20,5879999,5428,5428,3923,Mixed_Race,103,12,2003/2/17,0,0,6711,,2000065610
Kerwin Vargas,AM/S RL,20,108,137,Colombia,Charlotte Football Club,6,12,13,14,11,9,10,11,5,5,11,7,5,13,13,12,13,10,12,9,12,12,6,7,12,8,12,12,13,14,12,11,16,13,11,8,11,14,10,5,13,1,3,1,2,2,3,1,1,4,3,1,13,12,5,10,11,12,13,10,1,1,1,1,1,1,1,10,1,14,17,1,17,20,180,74,8,20,3609599,5400,4487,2800,African_Caribbean,103,12,2002/1/2,0,0,7603,,2000057688
Mika Biereth,S,19,108,-8,"Denmark,England",Arsenal,3,10,10,13,12,6,10,9,4,6,11,5,7,12,13,12,12,12,13,12,12,14,10,13,12,5,14,15,12,11,13,12,15,13,12,12,13,13,13,5,13,1,3,2,1,1,2,1,3,2,2,3,16,11,7,12,10,13,11,15,1,1,1,1,1,1,1,1,1,1,1,1,1,20,187,0,10,20,41269859,5397,5397,3001,Northern_European,106,2,2003/2/8,0,0,5800,RKC Waalwijk,29233148
Svetoslav Vutsov,GK,20,108,137,Bulgaria,Slavia Sofia,3,3,9,2,10,5,8,1,3,2,11,3,3,9,11,12,14,10,11,10,10,14,5,11,7,11,13,11,12,13,11,15,16,11,11,13,13,6,13,7,11,14,10,8,7,11,14,12,13,16,13,11,10,13,8,13,10,12,10,9,20,1,1,1,1,1,1,1,1,1,1,1,1,1,192,82,6,20,1657999,5400,5350,4450,Northern_European,109,1,2002/7/9,3,0,600,,22080125
Anthony Valencia,AM R,19,108,-75,Ecuador,R Antwerp FC,11,10,14,11,12,10,6,11,4,3,11,12,4,13,5,7,10,13,9,10,15,7,14,6,15,5,7,9,15,13,7,6,13,15,13,7,14,6,13,11,13,2,2,1,2,3,2,3,3,1,1,3,8,10,4,11,10,9,11,19,1,1,1,1,1,1,1,1,1,1,13,1,20,15,176,60,20,8,23100000,5900,5500,1500,Mixed_Race,108,13,2003/7/21,0,0,10215,,86066857
Beni Makouana,AM/S RL,19,108,135,Congo,Montpellier Hérault SC,4,10,12,11,12,6,7,8,4,6,9,7,5,12,8,11,10,10,8,8,11,14,12,8,12,5,13,13,15,11,11,10,12,17,11,12,12,9,9,11,10,1,1,3,3,3,1,4,1,1,1,2,13,12,8,9,13,14,14,12,1,1,1,1,1,1,1,1,1,1,17,1,15,20,181,73,5,20,3503999,5400,5400,2504,African_Caribbean,93,16,2002/9/28,10,0,2888,,2000059092
Nicolò Tresoldi,S,17,108,-8,"Italy,Germany",Hannover 96,12,7,12,13,12,13,13,8,2,6,11,12,7,13,12,12,13,11,9,12,10,15,14,3,13,7,13,12,13,12,11,13,15,13,11,8,12,7,12,3,8,1,2,1,3,3,2,1,1,2,3,1,13,16,4,13,13,15,12,12,1,1,1,1,1,1,1,1,1,1,14,14,14,20,183,77,12,20,16620000,5487,4214,3618,Mediterranean_Hispanic,109,5,2004/8/20,0,0,9588,,2000184216
Lewis Dobbin,AM/S RLC,19,108,-75,England,Everton,8,10,14,11,11,6,7,10,4,7,9,7,8,10,9,8,9,9,9,8,9,16,13,5,9,6,9,13,15,10,8,8,14,15,12,7,8,8,13,8,14,3,2,2,2,1,3,3,2,4,3,3,19,12,7,14,11,12,13,14,1,1,1,1,1,1,1,1,1,1,20,15,17,20,175,0,12,20,54864091,5397,5397,3247,African_Caribbean,95,12,2003/1/3,0,0,8119,Derby County,28127121
Carlos Vivas,D C,20,108,-75,Venezuela,Deportivo Táchira F.C.,5,6,8,5,11,7,12,6,8,12,10,5,13,12,13,12,13,12,13,11,13,12,5,11,6,13,13,12,12,11,12,11,14,13,12,12,14,8,13,15,13,2,3,3,2,2,2,1,3,1,3,1,17,10,6,10,12,13,12,15,1,8,20,12,1,1,1,1,1,1,1,1,1,1,182,72,7,20,394464,5439,5439,1876,Mediterranean_Hispanic,108,6,2002/4/4,0,0,696,,86080243
Oscar Schwartau,AM/S C,16,108,-75,Denmark,Brøndbyernes Idrætsforening,7,8,16,11,10,10,6,11,4,3,10,7,3,12,11,12,10,11,10,9,14,9,14,4,11,4,10,13,13,13,11,13,13,13,10,8,10,6,4,5,9,2,2,3,1,3,3,1,2,3,3,2,18,16,4,14,10,10,14,15,1,1,1,1,1,1,1,1,12,1,1,20,1,17,186,0,15,20,5732423,5415,4784,2390,Northern_European,101,2,2006/5/17,0,0,1008,,2000182990
Festy Ebosele,D/WB/AM R,19,108,-75,"Republic of Ireland,Nigeria",Udinese Calcio,6,9,10,6,10,7,9,4,14,7,10,6,8,10,13,10,12,8,6,8,8,13,9,7,8,6,9,10,16,10,9,10,9,18,11,14,10,13,10,11,12,3,2,1,1,1,1,4,1,2,2,1,15,16,11,12,12,9,8,11,1,12,1,18,14,20,1,9,1,15,11,1,17,11,180,64,8,20,19680000,5400,5250,2750,African_Caribbean,85,19,2002/8/2,0,0,4048,,29216094
Carl Rushworth,GK,21,108,148,England,Brighton & Hove Albion,5,1,3,2,5,7,3,3,1,2,12,1,2,4,8,12,12,9,9,8,11,13,2,11,1,12,11,10,8,12,11,14,8,9,15,10,14,8,7,11,12,13,11,11,9,13,12,14,14,11,10,11,18,12,2,12,11,9,10,15,20,1,1,1,1,1,1,1,1,1,1,1,1,1,188,0,20,8,13687025,5392,5392,2992,Northern_European,103,1,2001/7/2,0,0,3480,Lincoln City,89065344
Tymur Puzankov,GK,19,108,-75,Ukraine,Shakhtar Donetsk,2,3,2,1,10,4,11,5,4,4,12,9,5,11,6,9,10,8,10,11,12,11,3,6,11,9,12,13,9,11,10,18,9,12,11,10,8,4,9,7,1,16,11,10,3,12,10,13,15,8,10,11,5,8,5,20,9,15,14,5,20,1,1,1,1,1,1,1,1,1,1,1,1,1,195,0,4,20,13798412,4500,4536,2016,Northern_European,101,2,2003/3/4,0,0,1160,,71109701
Anthony Patterson,GK,22,108,135,England,Sunderland,1,1,3,2,10,6,1,3,1,2,9,3,2,11,11,12,16,10,12,9,10,13,3,6,2,12,5,9,13,14,8,13,17,14,6,7,13,5,11,8,13,13,10,8,5,12,11,11,13,5,12,10,14,12,4,11,10,10,12,14,20,1,1,1,1,1,1,1,1,1,1,1,1,1,185,68,14,20,4370569,5400,5400,2260,Northern_European,104,4,2000/5/10,0,0,4640,,28110962
Dhoraso Klas,D/DM/M C,21,108,135,Holland,ADO Den Haag,11,8,9,8,12,12,13,12,1,10,12,5,11,12,13,11,13,9,11,9,10,6,9,10,12,11,13,16,12,13,13,11,11,11,12,12,11,6,3,8,15,3,4,3,2,1,3,2,4,2,3,3,17,10,6,9,11,11,11,11,1,1,16,12,1,12,18,1,20,10,1,13,1,1,181,0,8,20,2268750,5300,5300,3250,African_Caribbean,100,15,2001/1/30,0,0,1423,,37076778
Romano Postema,S,20,108,-75,Holland,FC Groningen,10,10,16,11,10,10,10,8,6,5,9,8,5,10,9,11,12,12,11,11,12,11,11,5,13,5,7,12,14,11,8,11,12,14,11,8,11,12,9,6,12,2,1,2,3,3,2,1,1,1,3,4,8,13,2,10,11,13,8,20,1,1,1,1,1,1,1,1,1,1,1,1,1,20,175,67,15,20,14640000,5350,5350,3750,Northern_European,105,2,2002/2/7,0,0,2000,Roda JC Kerkrade,37076259
Bjorn Meijer,D/WB/M L,19,108,-75,Holland,Club Brugge KV,9,12,9,6,11,10,13,5,12,11,12,7,14,11,12,12,12,13,11,11,11,10,9,8,12,11,14,13,13,10,12,15,15,12,12,8,12,11,4,5,11,1,3,2,2,1,2,3,1,1,1,3,17,11,4,11,10,9,12,15,1,20,1,1,18,1,1,16,1,1,1,1,1,1,182,0,20,9,25600000,5375,5390,3740,Northern_European,105,1,2003/3/18,0,0,4999,,37076256
Mimeirhel Benita,D/WB/M/AM R,18,108,-75,"Holland,Curaçao",Feyenoord Rotterdam,8,12,11,8,12,8,6,7,7,4,14,9,7,13,12,13,10,11,9,8,15,11,13,11,12,11,14,11,13,12,10,6,7,13,11,9,13,15,15,8,15,2,3,1,4,3,3,2,3,1,3,3,16,12,5,13,11,11,13,15,1,1,1,18,1,18,1,1,1,18,1,1,20,1,168,0,8,20,23940001,4843,4845,2243,African_Caribbean,102,16,2003/11/17,0,0,886,,37076172
Palkó Dárdai,M/AM RL,23,108,135,"Germany,Hungary",Fehérvár FC,12,10,11,11,11,11,6,13,5,6,11,10,8,11,16,10,13,9,9,11,10,15,12,8,10,8,14,13,13,12,10,8,14,13,13,9,9,6,13,9,14,1,2,2,2,1,1,1,4,3,1,2,10,13,5,15,12,14,16,12,1,1,1,1,1,1,1,18,12,20,18,14,20,1,175,63,20,14,616249,5500,5500,2750,Northern_European,102,3,1999/4/24,0,0,2613,,91153905
Jakub Stolarczyk,GK,21,108,-8,Poland,Leicester City,5,1,1,2,5,6,1,1,1,3,9,3,2,8,14,13,15,9,8,8,14,8,1,10,2,12,9,8,12,10,9,13,14,10,6,7,20,7,5,6,15,12,13,12,5,11,11,13,13,12,8,14,19,11,3,11,11,12,9,15,20,1,1,1,1,1,1,1,1,1,1,1,1,1,194,82,12,20,63841850,5390,5390,2990,Northern_European,106,4,2000/12/19,0,0,11599,Fleetwood Town,28117362
Rhys Williams,D C,21,108,145,England,Liverpool,3,6,10,7,11,6,16,5,11,13,12,5,12,11,11,12,14,11,10,8,11,14,6,9,7,12,13,13,10,11,10,16,11,11,12,12,12,8,12,6,6,2,1,2,1,1,2,3,2,1,1,1,12,14,4,14,10,14,10,10,1,1,20,1,1,1,1,1,1,1,1,1,1,1,195,0,6,20,1478704,5747,5897,3252,Northern_European,105,8,2001/2/3,0,0,13919,Blackpool,28115793
Isaak Davies,S RL,20,108,135,Wales,Cardiff City,9,11,10,10,7,10,9,10,5,8,10,10,9,12,7,11,9,8,8,10,8,8,10,5,13,11,14,16,15,12,11,9,12,17,11,10,8,8,10,11,11,2,3,1,1,3,2,1,1,4,2,3,14,9,7,9,11,12,11,13,1,1,1,1,1,1,1,1,1,1,15,12,15,20,172,0,8,20,5183439,5400,5400,2500,Northern_European,93,0,2001/9/25,0,0,1392,,28122162
Jonathan González,DM/M C,23,108,148,"Mexico,United States",Querétaro FC,8,6,9,7,11,4,10,4,6,16,10,4,13,12,11,13,15,12,13,9,10,8,12,1,10,12,14,17,13,15,12,7,15,14,16,8,13,5,3,12,15,1,3,3,2,2,3,2,3,2,2,1,14,15,7,10,10,11,11,16,1,1,1,1,1,1,20,1,18,1,1,1,1,1,168,62,12,20,1512178,5728,5728,3203,African_Caribbean,110,3,1999/4/13,3,0,6721,Minnesota United FC,51067299
Kai Cipot,D C,21,108,139,Slovenia,NŠ Mura Murska Sobota,10,10,11,12,13,10,12,10,3,13,10,6,12,12,5,10,12,12,13,11,11,12,8,10,13,12,11,12,12,13,10,12,8,12,11,13,9,7,14,7,12,2,3,3,1,2,3,2,2,3,2,2,12,11,5,13,12,11,12,11,1,1,20,1,1,1,1,12,1,12,14,1,13,11,187,78,8,20,1159999,5201,5201,2702,Northern_European,110,4,2001/4/28,0,0,880,,62248972
Samson Baidoo,D/DM C,18,108,-75,Austria,Fussballclub RB Salzburg,4,4,10,7,11,7,9,11,9,12,11,7,11,9,11,9,12,10,9,10,9,14,8,11,7,15,12,13,14,12,14,15,13,15,14,14,8,8,7,6,13,3,3,3,1,2,3,3,3,3,1,1,11,14,8,13,13,14,11,10,1,1,20,1,1,1,16,1,1,1,1,1,1,1,187,86,11,20,14765000,5384,5384,2692,African_Caribbean,111,13,2004/3/31,0,0,1917,,16337073
Santiago Castro,AM/S L,17,108,-75,Argentina,Club Atlético Vélez Sarsfield,7,8,11,12,11,8,13,11,6,7,10,14,8,12,14,12,12,12,10,11,15,14,12,9,12,8,13,14,13,13,12,11,13,13,13,12,12,7,9,5,12,3,3,1,3,2,3,3,3,3,2,2,13,9,4,10,11,10,7,13,1,1,1,1,1,1,1,10,1,1,18,1,1,20,179,80,8,20,7651870,5249,5249,2525,Mediterranean_Hispanic,112,7,2004/9/18,0,0,483,,14236223
Mateo Seoane,DM/M C,18,108,-75,Argentina,Club Atlético Vélez Sarsfield,6,7,10,5,11,7,7,10,7,11,12,12,11,11,12,11,13,11,11,12,15,13,11,10,10,11,12,11,11,11,12,8,12,11,12,10,18,13,6,6,12,3,2,1,3,2,1,2,1,1,2,4,7,11,3,11,13,13,12,10,1,1,1,1,1,1,20,1,17,10,1,1,1,1,178,68,8,20,7651870,5250,5250,2050,Mediterranean_Hispanic,97,5,2004/2/9,0,0,948,,14236224
